,developer,count,year
449,MagicLantern,0,1995
450,MadDocSoftware,0,1995
451,StainlessSteelStudios,0,1995
452,Mobile21,0,1995
453,Dearsoft,0,1995
454,EARedwoodShores,0,1995
455,BungieSoftware,0,1995
456,EATiburon,0,1995
457,Magitech,0,1995
458,KCEStudios,0,1995
459,DigitalIllusions,0,1995
460,PseudoInteractive,0,1995
461,GriptoniteGames,0,1995
462,KnowWonder,0,1995
463,"3000AD,Inc.",0,1995
464,Natsume,0,1995
465,Stormregion,0,1995
466,MassiveDevelopment,0,1995
467,IndieBuilt,0,1995
468,HotGen,0,1995
469,HarmonixMusicSystems,0,1995
470,"CrystalDynamics,NixxesSoftware",0,1995
471,Bugbear,0,1995
472,PiranhaBytes,0,1995
473,FoxInteractive,0,1995
474,Adrenium,0,1995
475,Full-Fat,0,1995
476,SilverStyle,0,1995
477,Artematica,0,1995
478,CrawfishInteractive,0,1995
479,SennariInteractive,0,1995
480,CattleCall,0,1995
481,NinaiGames,0,1995
482,GraphicState,0,1995
483,Xpiral,0,1995
484,SnowblindStudios,0,1995
485,AltarInteractive,0,1995
486,RedZoneEntertainment,0,1995
487,PlanetInteractive,0,1995
488,Sacnoth,0,1995
489,WideScreenGames,0,1995
490,EnlightSoftware,0,1995
491,Racjin,0,1995
492,DigitalMayhem,0,1995
493,MaxFive,0,1995
494,Will,0,1995
495,UGA,0,1995
496,Ikarion,0,1995
497,SunriseInteractive,0,1995
498,2015,0,1995
499,JalecoEntertainment,0,1995
500,StrategyFirst,0,1995
501,FarsightTechnologies,0,1995
502,GalileaMultimedia,0,1995
503,BostonAnimation,0,1995
504,SurrealSoftware,0,1995
505,BunkashaPublishing,0,1995
506,Auran,0,1995
507,VISEntertainment,0,1995
508,SCEELondonStudio,0,1995
509,InfiniteMachine,0,1995
510,PointofView,0,1995
511,Koei/Inis,0,1995
512,ProSim,0,1995
513,KodiakInteractive,0,1995
514,TotallyGames,0,1995
515,OutOfTheParkDevelopments,0,1995
516,WinkySoft,0,1995
517,VisualImpact,0,1995
518,ClapHanz,0,1995
519,DesertProductions,0,1995
520,Zoom,0,1995
521,UbisoftMilan,0,1995
522,BluePlanetSoftware,0,1995
523,Innonics,0,1995
524,CreativeEdgeSoftware,0,1995
525,EvolutionStudios,0,1995
526,KCEA,0,1995
527,Creations,0,1995
528,IrrationalGames,0,1995
529,Art,0,1995
530,NixxesSoftware,0,1995
531,SIMS,0,1995
532,GolemLabs,0,1995
533,Cinemaware,0,1995
534,WayForward,0,1995
535,StalkerEntertainment,0,1995
536,GasPoweredGames,0,1995
537,iRockInteractive,0,1995
538,BlackCactus,0,1995
539,AI,0,1995
540,ARCEntertainment,0,1995
541,SoftwareCreations,0,1995
542,PiranhaGames,0,1995
543,KamehanStudios,0,1995
544,LegacyInteractive,0,1995
545,SportsMogul,0,1995
546,BethesdaSoftworks,0,1995
547,PuzzleKings,0,1995
548,MetroGraphics,0,1995
549,Amuze,0,1995
550,ScreamingGames,0,1995
551,CreatureLabs,0,1995
552,WebfootTechnologies,0,1995
553,AtomicPlanetEntertainment,0,1995
554,Blueshift,0,1995
555,"DMADesign,RockstarNorth",0,1995
556,Tantalus,0,1995
557,EALA,0,1995
558,SCEE,0,1995
559,NowProduction,0,1995
560,BitTown,0,1995
561,SuperEmpire,0,1995
562,"Atari,Infogrames",0,1995
563,Trecision,0,1995
564,Slitherine,0,1995
565,CunningDevelopments,0,1995
566,4DRulers,0,1995
567,Simon&Schuster,0,1995
568,TriumphStudios,0,1995
569,Saturn+,0,1995
570,LeapingLizardSoftwareInc.,0,1995
571,SmartDog,0,1995
572,PantherGames,0,1995
573,7Studios,0,1995
574,SiliconKnights,0,1995
575,PixelArts,0,1995
576,DreamCatcherInteractive,0,1995
577,RoninEntertainment,0,1995
578,U.S.Army,0,1995
579,FurySoftware,0,1995
580,MagentaSoftware,0,1995
581,SCEStudioCambridge,0,1995
582,Starbreeze,0,1995
583,Crave,0,1995
584,Gilligames,0,1995
585,Prograph,0,1995
586,RedLemonStudios,0,1995
587,HumongousEntertainment,0,1995
588,KleinComputerEntertainment,0,1995
589,Wanadoo,0,1995
590,Pixelogic,0,1995
591,ComputerArtworks,0,1995
592,BumbleBeast,0,1995
593,"Haemimont,HaemimontGames",0,1995
594,"MonteCristoMultimedia,MonteCristo",0,1995
595,"FunaticsDevelopmentGmbH,FunaticsSoftware,Funatics",0,1995
596,WideGames,0,1995
597,Inti,0,1995
598,Zuxxez,0,1995
599,VUGames,0,1995
600,"Atari,MicroProse,AtariSA",0,1995
601,IridonInteractiveAB,0,1995
602,SetaCorporation,0,1995
603,CurlyMonsters,0,1995
604,LarianStudiosGames,0,1995
605,CodeFire,0,1995
606,MidwayStudios-Austin,0,1995
607,SuckerPunch,0,1995
608,PocketStudios,0,1995
609,ViciousCycle,0,1995
610,I-Imagine,0,1995
611,WXP,0,1995
612,Velez&Dubail,0,1995
613,PivotalGames,0,1995
614,EASeattle,0,1995
615,SCi,0,1995
616,Prokion,0,1995
617,YoyoEntertainment,0,1995
618,"PipeworksSoftware,Inc.",0,1995
619,Altron,0,1995
620,HokusPokus,0,1995
621,"Media.Vision,Contrail",0,1995
622,Ancient,0,1995
623,Similis,0,1995
624,Media.Vision,0,1995
625,SouthendInteractive,0,1995
626,Telenet,0,1995
627,ToeJam&EarlProductions,0,1995
628,4XStudios,0,1995
629,ThirdWire,0,1995
630,CatDaddyGames,0,1995
631,RockstarNorth,0,1995
632,KillerGame,0,1995
633,BigTimeSoftware,0,1995
634,Taniko,0,1995
635,Housemarque,0,1995
636,Hypnotix,0,1995
637,ProntoGames,0,1995
638,RadonLabs,0,1995
639,CheckSixGames,0,1995
640,InevitableEntertainment,0,1995
641,Sandlot,0,1995
642,FreedomLLC,0,1995
643,"AtomicPlanetEntertainment,BlitzGames",0,1995
644,Equinoxe,0,1995
645,Flagship,0,1995
646,Day1Studios,0,1995
647,ArkaneStudios,0,1995
648,TheCodeMonkeys,0,1995
649,Enterbrain,0,1995
650,"Zuxxez,InImages",0,1995
651,"EALA,DreamworksGames",0,1995
652,PapayaStudios,0,1995
653,DigitalReality,0,1995
654,StealthStudios,0,1995
655,Helixe,0,1995
656,ReakktorMedia,0,1995
657,RetroStudios,0,1995
658,Dragonstone,0,1995
659,4HeadStudios,0,1995
660,"Dragonstone,DragonstoneSoftware",0,1995
661,RazorworksStudios,0,1995
662,BitsStudios,0,1995
663,ContrabandEntertainment,0,1995
664,RealismLtd,0,1995
665,PowerheadGames,0,1995
666,SandGrainStudios,0,1995
667,Den-Yu-Sha,0,1995
668,2By3Games,0,1995
669,Sting,0,1995
670,DimpsCorporation,0,1995
671,MagicRings,0,1995
672,CaveBarn,0,1995
673,PantherSoftware,0,1995
674,Frogwares,0,1995
675,"InfiniteDreams,Paragon5",0,1995
676,UbisoftShanghai,0,1995
677,TeamSoho,0,1995
678,SoftEnterprises,0,1995
679,BladeInteractive,0,1995
680,CrankyPantsGames,0,1995
681,LegendEntertainment,0,1995
682,CyberConnect2,0,1995
683,EAPacific,0,1995
684,Irem,0,1995
685,AcclaimStudiosManchester,0,1995
686,JustAddMonsters,0,1995
687,QuicksilverSoftware,0,1995
688,SilverbackEntertainment,0,1995
689,MonolithSoft,0,1995
690,K2LLC,0,1995
691,Rebelmind,0,1995
692,StudioGigante,0,1995
693,Cosmigo,0,1995
694,GameFreak,0,1995
695,HandheldGames,0,1995
696,SunSoft,0,1995
697,TermiteGames,0,1995
698,Xpec,0,1995
699,SunflowersInteractive,0,1995
700,WolfpackStudios,0,1995
701,369Interactive,0,1995
702,Pterodon,0,1995
703,BabylonSoftware,0,1995
704,DigitaloStudios,0,1995
705,PaxSoftonica,0,1995
706,GenePool,0,1995
707,FreeformInteractiveLLC,0,1995
708,LivesayTechnologies,0,1995
709,MayhemStudios,0,1995
710,NerveSoftware,0,1995
711,GamenessArtSoftware,0,1995
712,CCP,0,1995
713,FrontierDevelopments,0,1995
714,BigHugeGames,0,1995
715,RaylightStudios,0,1995
716,SaberInteractive,0,1995
717,MadebyKiddies,0,1995
718,CaviaInc.,0,1995
719,MicroCabin,0,1995
720,Avaria,0,1995
721,KnutMueller,0,1995
722,NekoEntertainment,0,1995
723,TDKMediactive,0,1995
724,XXVProductions,0,1995
725,BudCat,0,1995
726,CreatStudios,0,1995
727,Beenox,0,1995
728,Fluent,0,1995
729,JupiterCorporation,0,1995
730,TesseractionGames,0,1995
731,Philoslabs,0,1995
732,SickPuppies,0,1995
733,ElixirStudios,0,1995
734,Shift,0,1995
735,NipponIchiSoftware,0,1995
736,PenduloStudios,0,1995
737,MadCatInteractiveSoftware,0,1995
738,ToysforBob,0,1995
739,SquareEnix,0,1995
740,"10tonsEntertainment,10tons",0,1995
741,SupersonicSoftware,0,1995
742,"AsmikAceEntertainment,Inc",0,1995
743,S2Games,0,1995
744,No info,0,1995
745,HBStudiosMultimedia,0,1995
746,MagicPockets,0,1995
747,EABlackBox,0,1995
748,TKOSoftware,0,1995
749,NextEntertainment,0,1995
750,BeepIndustries,0,1995
751,NextLevelGames,0,1995
752,KingoftheJungle,0,1995
753,MistLand,0,1995
754,HerInteractive,0,1995
755,MultimediaIntelligenceTransfer,0,1995
756,CloverStudio,0,1995
757,"ValuewaveCo.,Ltd.",0,1995
758,IdolFX,0,1995
759,SelectiveIntuition,0,1995
760,FutureGames,0,1995
761,AsylumEntertainment,0,1995
762,InfiniteInteractive,0,1995
763,WildTangent,0,1995
764,MicroApplication,0,1995
765,Pyramid,0,1995
766,Wargaming.net,0,1995
767,PamDevelopment,0,1995
768,InfinityWard,0,1995
769,258ProductionsAB,0,1995
770,"SCEE,ZoeMode",0,1995
771,HypnosEntertainment,0,1995
772,SmallRockets,0,1995
773,AnimaInteractive,0,1995
774,Eighting,0,1995
775,B-Alive,0,1995
776,Million,0,1995
777,IllwinterDesignGroup,0,1995
778,PlasticReality,0,1995
779,AlphadreamCorporation,0,1995
780,"BlackBox,EABlackBox",0,1995
781,NetherockLtd.,0,1995
782,Poponchi,0,1995
783,UbisoftParis,0,1995
784,"Acclaim,AcclaimStudiosManchester",0,1995
785,Swingin'Ape,0,1995
786,PacificCenturyCyberWorks,0,1995
787,RealtimeAssociates,0,1995
788,NapsTeam,0,1995
789,Detalion,0,1995
790,RapidEyeEntertainment,0,1995
791,BrownieBrown,0,1995
792,SensorySweep,0,1995
793,M4Limited,0,1995
794,RockstarVienna,0,1995
795,NexEntertainment,0,1995
796,NECInterchannel,0,1995
797,ArtifactEntertainment,0,1995
798,ThreeRings,0,1995
799,SNKPlaymore,0,1995
800,Aspyr,0,1995
801,Marvelous,0,1995
802,Pocketeers,0,1995
803,DiversionsEntertainment,0,1995
804,PixelMultimedia,0,1995
805,TurtleRockStudios,0,1995
806,LSP,0,1995
807,StormcloudCreations,0,1995
808,LabRatsGames,0,1995
809,StarsphereInteractive,0,1995
810,Interplay,0,1995
811,"ParadoxInteractive,ParadoxDevelopmentStudio",0,1995
812,G5Software,0,1995
813,Banpresto,0,1995
814,EAPhenomic,0,1995
815,MediaMobsters,0,1995
816,SteelMonkeys,0,1995
817,InfernoGames,0,1995
818,Silvio&GeySavarese,0,1995
819,EarthlightProductions,0,1995
820,GeniusSonorityInc.,0,1995
821,Crytek,0,1995
822,ArtechStudios,0,1995
823,GustoGames,0,1995
824,LegendStudios,0,1995
825,BratDesigns,0,1995
826,MagnumGames,0,1995
827,HexagonEntertainment,0,1995
828,PeopleCanFly,0,1995
829,GrasshopperManufacture,0,1995
830,"ParagonStudios,CrypticStudios",0,1995
831,NCSOFT,0,1995
832,NoiseInc.,0,1995
833,MisticSoftware,0,1995
834,PrimalSoftware,0,1995
835,Zombie,0,1995
836,MixMax,0,1995
837,WingsSimulations,0,1995
838,LexisNumerique,0,1995
839,FizzFactor,0,1995
840,Streko-GraphicsInc.,0,1995
841,K-DLab,0,1995
842,AwesomeDevelopments,0,1995
843,BestWay,0,1995
844,DestroyerStudios,0,1995
845,Nadeo,0,1995
846,KumaRealityGames,0,1995
847,"ArgonautGames,EAGames",0,1995
848,TacticalDevelopment,0,1995
849,ConfoundingFactor,0,1995
850,ExientEntertainment,0,1995
851,SilverWishGames,0,1995
852,TopHeavyStudios,0,1995
853,FUNLabs,0,1995
854,AccessGames,0,1995
855,Khaeon,0,1995
856,BlackShipGames,0,1995
857,Guerrilla,0,1995
858,EtrangesLibellules,0,1995
859,BigBlueBox,0,1995
860,CoyoteDevelopments,0,1995
861,ChronicLogic,0,1995
862,Nevrax,0,1995
863,Suzak,0,1995
864,PaonCorporation,0,1995
865,AmazeEntertainment,0,1995
866,Respondesign,0,1995
867,Nautilus,0,1995
868,VenomGames,0,1995
869,NicelyCrafted,0,1995
870,BlackElement,0,1995
871,"Revistonic,Revistronic",0,1995
872,FuseGamesLimited,0,1995
873,Yager,0,1995
874,Rotobee,0,1995
875,Playmore,0,1995
876,BackboneEntertainment,0,1995
877,TomCreate,0,1995
878,"AtlantisInteractiveEntertainment	,AtlantisInteractiveEntertainment",0,1995
879,SportsInteractive,0,1995
880,SumoDigital,0,1995
881,InXileEntertainment,0,1995
882,"HeavyIronStudios,Beenox",0,1995
883,SkyworksTechnologies,0,1995
884,KheopsStudio,0,1995
885,BlueTongue,0,1995
886,Kamui,0,1995
887,MercurySteam,0,1995
888,GuildSoftware,0,1995
889,TiltedMill,0,1995
890,CityInteractive,0,1995
891,SparkUnlimited,0,1995
892,GenuineGames,0,1995
893,Gameloft,0,1995
894,FarsightStudios,0,1995
895,Coresoft,0,1995
896,RazborStudios,0,1995
897,TheBehemoth,0,1995
898,MadCatz,0,1995
899,ToseSoftware,0,1995
900,BlackHoleGames,0,1995
901,UbisoftShanghai/Paris,0,1995
902,LaPlata,0,1995
903,ChessBase,0,1995
904,NoiseFactory,0,1995
905,ObsidianEntertainment,0,1995
906,HudsonSoft,0,1995
907,CareerSoft,0,1995
908,"Namco,NintendoSoftwareTechnology",0,1995
909,Tiwak,0,1995
910,"Buddiez,Inc.",0,1995
911,GameyusInteractive,0,1995
912,"OrbitalMedia,Inc.",0,1995
913,PhoenixGamesStudio,0,1995
914,SystemSoft,0,1995
915,Falcom,0,1995
916,Sonalysts,0,1995
917,TouchdownEntertainment,0,1995
918,HumanSoft,0,1995
919,Mithis/HDInteractive,0,1995
