,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
314,The Legend of Zelda: Majora's Mask,Nintendo64,2000-10-25,95,9.1,Nintendo,"Action Adventure,Fantasy",1 Player,27,1358,8.774999999999999
315,NHL 2001,PlayStation2,2000-10-25,85,8.2,EASports,"Sports,Traditional,Ice Hockey,Sim",1-8 ,22,12,6.983333333333333
327,FIFA 2001 Major League Soccer,PC,2000-10-30,85,6.9,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",1-8 ,14,32,6.971428571428571
331,Knockout Kings 2001,PlayStation,2000-10-30,84,7.4,EASports,"Sports,Traditional,Boxing",No info,11,10,7.025
346,NASCAR 2001,PlayStation2,2000-11-06,66,6.5,EASports,"Driving,Racing,Stock Car",1-2 ,16,10,6.966666666666667
354,Capcom vs. SNK,Dreamcast,2000-11-09,80,8.6,Capcom,"Action,Fighting,2D",No info,17,31,8.424999999999999
377,FIFA 2001 Major League Soccer,PlayStation,2000-11-14,85,7.0,EASports,"Sports,Traditional,Soccer,Sim",No info,10,9,6.970000000000001
379,Dino Crisis,Dreamcast,2000-11-14,74,8.7,Capcom,"Action Adventure,Horror",No info,12,57,8.446153846153846
386,Resident Evil 3: Nemesis,Dreamcast,2000-11-17,79,9.0,Capcom,"Action Adventure,Horror",No info,13,291,8.485714285714286
405,FIFA 2001,PlayStation2,2000-11-24,83,7.3,EACanada,"Sports,Traditional,Soccer,Sim",1-8 ,18,17,7.9
410,Breath of Fire IV,PlayStation,2000-11-28,83,8.6,Capcom,"Role-Playing,Console-style RPG",1 Player,10,95,8.493333333333334
416,Dino Crisis,PC,2000-12-04,59,8.5,Capcom,"Action Adventure,Horror,Horror,Survival",1 Player,9,68,8.49375
421,Colin McRae Rally 2.0,PlayStation,2000-12-05,90,8.4,Codemasters,"Driving,Racing,Rally / Offroad",1-2 ,13,61,8.05
424,Resident Evil 2,Dreamcast,2000-12-06,77,9.2,Capcom,"Action Adventure,Horror",No info,11,61,8.535294117647059
429,Speed Devils Online Racing,Dreamcast,2000-12-13,76,8.1,UbisoftMontreal,"Driving,Racing,Arcade",No info,10,7,8.1
432,Disney's Donald Duck: Goin' Quackers,Dreamcast,2000-12-13,71,8.0,UbisoftMontreal,"Action,Platformer,3D",No info,8,7,8.05
464,Rayman 2 Revolution,PlayStation2,2001-01-30,90,8.7,Ubisoft,"Action,Platformer,3D",1 Player,16,76,8.7
467,Mega Man X5,PlayStation,2001-02-01,76,8.9,Capcom,"Action,Platformer,2D",1 Player,10,141,8.555555555555555
476,NBA Live 2001,PC,2001-02-07,78,7.0,EASports,"Sports,Traditional,Team,Basketball,Sim,Sim",1-2 ,13,13,6.972727272727273
481,Colin McRae Rally 2.0,PC,2001-02-13,83,8.6,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",1-8 ,14,105,8.233333333333333
494,Shadow of Destiny,PlayStation2,2001-03-05,78,8.3,Konami,"Adventure,Third-Person,Fantasy",1 Player,18,27,8.766666666666667
