,platform,count,year
506,PC,4073,2018
507,PlayStation,189,2018
508,Nintendo64,71,2018
509,Dreamcast,126,2018
510,PlayStation2,1421,2018
511,GameBoyAdvance,442,2018
512,Xbox,793,2018
513,GameCube,452,2018
514,DS,728,2018
515,PSP,514,2018
516,Xbox360,1665,2018
517,PlayStation3,1265,2018
518,Wii,663,2018
519,3DS,393,2018
520,PlayStationVita,258,2018
521,WiiU,186,2018
522,PlayStation4,1447,2018
523,XboxOne,846,2018
524,Switch,527,2018
525,Stadia,0,2018
526,XboxSeriesX,0,2018
527,PlayStation5,0,2018
528,PC,4336,2019
529,PlayStation,189,2019
530,Nintendo64,71,2019
531,Dreamcast,126,2019
532,PlayStation2,1421,2019
533,GameBoyAdvance,442,2019
534,Xbox,793,2019
535,GameCube,452,2019
536,DS,728,2019
537,PSP,514,2019
538,Xbox360,1665,2019
539,PlayStation3,1265,2019
540,Wii,663,2019
541,3DS,398,2019
542,PlayStationVita,258,2019
543,WiiU,186,2019
544,PlayStation4,1709,2019
545,XboxOne,1005,2019
546,Switch,854,2019
547,Stadia,0,2019
548,XboxSeriesX,0,2019
549,PlayStation5,0,2019
550,PC,4646,2020
551,PlayStation,189,2020
552,Nintendo64,71,2020
553,Dreamcast,126,2020
554,PlayStation2,1421,2020
555,GameBoyAdvance,442,2020
556,Xbox,793,2020
557,GameCube,452,2020
558,DS,728,2020
559,PSP,514,2020
560,Xbox360,1665,2020
561,PlayStation3,1265,2020
562,Wii,663,2020
563,3DS,398,2020
564,PlayStationVita,258,2020
565,WiiU,186,2020
566,PlayStation4,1959,2020
567,XboxOne,1148,2020
568,Switch,1188,2020
569,Stadia,4,2020
570,XboxSeriesX,18,2020
571,PlayStation5,26,2020
572,PC,4913,2021
573,PlayStation,189,2021
574,Nintendo64,71,2021
575,Dreamcast,126,2021
576,PlayStation2,1421,2021
577,GameBoyAdvance,442,2021
578,Xbox,793,2021
579,GameCube,452,2021
580,DS,728,2021
581,PSP,514,2021
