,genre,count,year
654,No info,0,1998
655,Bowling,0,1998
656,WWI,0,1998
657,Edutainment,0,1998
658,Gambling,0,1998
659,Party / Minigame,0,1998
660,Pet,0,1998
661,Static,0,1998
662,Ski / Snowboard,0,1998
663,Visual Novel,0,1998
664,Application,0,1998
665,Boxing / Martial Arts,0,1998
666,Logic,0,1998
667,Videos,0,1998
668,Interactive Movie,0,1998
669,Roguelike,0,1998
670,Trainer,0,1998
671,Hidden Object,0,1998
672,Cricket,0,1998
673,Sandbox,0,1998
674,Defense,0,1998
675,Drag,0,1998
676,Skiing,0,1998
677,Exercise / Fitness,0,1998
678,MOBA,0,1998
679,Text,0,1998
680,Adventure,13,1999
681,General,44,1999
682,Action,51,1999
683,Shooter,34,1999
684,First-Person,23,1999
685,Sci-Fi,35,1999
686,Arcade,13,1999
687,Strategy,17,1999
688,Turn-Based,4,1999
689,Historic,8,1999
690,4X,3,1999
691,Action Adventure,17,1999
692,Horror,6,1999
693,Fighting,7,1999
694,3D,17,1999
695,Platformer,12,1999
696,Simulation,7,1999
697,Point-and-Click,6,1999
698,Driving,17,1999
699,Racing,16,1999
700,Futuristic,5,1999
701,Real-Time,11,1999
702,Command,7,1999
703,Snow / Water,1,1999
704,Modern,17,1999
705,Miscellaneous,4,1999
706,Puzzle,1,1999
707,Matching,1,1999
708,Role-Playing,19,1999
709,Action RPG,4,1999
710,Kart,3,1999
711,Rail,1,1999
712,Flight,3,1999
713,Modern Jet,5,1999
714,2D,5,1999
715,Console-style RPG,8,1999
716,Third-Person,5,1999
717,Shoot-'Em-Up,1,1999
718,Top-Down,1,1999
719,Wargame,1,1999
720,PC-style RPG,6,1999
721,Western-Style,4,1999
722,Small Spaceship,4,1999
723,Rhythm,2,1999
724,Music,2,1999
725,Fantasy,15,1999
726,GT / Street,3,1999
727,Scrolling,1,1999
728,Light Gun,1,1999
729,Tactical,2,1999
730,Tycoon,2,1999
731,Management,1,1999
732,Business / Tycoon,1,1999
733,Combat,3,1999
734,Party,1,1999
735,Massively Multiplayer Online,2,1999
736,Massively Multiplayer,2,1999
737,Sports,3,1999
738,Traditional,2,1999
739,Golf,1,1999
740,Mission-based,1,1999
741,Football,1,1999
742,Survival,2,1999
743,Alternative,1,1999
744,Skateboarding,1,1999
745,Motorcycle,1,1999
746,Motocross,1,1999
747,Space,1,1999
748,Breeding/Constructing,1,1999
749,Beat-'Em-Up,1,1999
750,Automobile,0,1999
751,Virtual Life,0,1999
752,Virtual,0,1999
753,Parlor,0,1999
754,Billiards,0,1999
755,City Building,0,1999
756,Government,0,1999
757,Tactics,0,1999
758,Tennis,0,1999
759,Sim,0,1999
760,Large Spaceship,0,1999
761,Civilian,0,1999
762,Rally / Offroad,0,1999
763,Formula One,0,1999
764,Nature,0,1999
765,Fishing,0,1999
766,Baseball,0,1999
767,Olympic Sports,0,1999
768,Helicopter,0,1999
769,Wrestling,0,1999
770,Futuristic Sub,0,1999
771,Individual,0,1999
772,Team,0,1999
773,Athletics,0,1999
774,Ice Hockey,0,1999
775,Futuristic Jet,0,1999
776,Stock Car,0,1999
777,Tank,0,1999
778,Vehicle,0,1999
779,Demolition Derby,0,1999
780,Biking,0,1999
781,Snowboarding,0,1999
782,Street,0,1999
783,WWII,0,1999
784,Board / Card Game,0,1999
785,Basketball,0,1999
786,Boxing,0,1999
