,name,value,date
464,Stormregion,0,1995-01-01
465,MassiveDevelopment,0,1995-01-01
466,IndieBuilt,0,1995-01-01
467,HotGen,0,1995-01-01
468,HarmonixMusicSystems,0,1995-01-01
469,NixxesSoftware,0,1995-01-01
470,Bugbear,0,1995-01-01
471,PiranhaBytes,0,1995-01-01
472,FoxInteractive,0,1995-01-01
473,Adrenium,0,1995-01-01
474,Full-Fat,0,1995-01-01
475,SilverStyle,0,1995-01-01
476,Artematica,0,1995-01-01
477,CrawfishInteractive,0,1995-01-01
478,SennariInteractive,0,1995-01-01
479,CattleCall,0,1995-01-01
480,NinaiGames,0,1995-01-01
481,GraphicState,0,1995-01-01
482,Xpiral,0,1995-01-01
483,SnowblindStudios,0,1995-01-01
484,AltarInteractive,0,1995-01-01
485,RedZoneEntertainment,0,1995-01-01
486,PlanetInteractive,0,1995-01-01
487,Sacnoth,0,1995-01-01
488,WideScreenGames,0,1995-01-01
489,EnlightSoftware,0,1995-01-01
490,Racjin,0,1995-01-01
491,DigitalMayhem,0,1995-01-01
492,MaxFive,0,1995-01-01
493,Will,0,1995-01-01
494,UGA,0,1995-01-01
495,Ikarion,0,1995-01-01
496,SunriseInteractive,0,1995-01-01
497,2015,0,1995-01-01
498,JalecoEntertainment,0,1995-01-01
499,StrategyFirst,0,1995-01-01
500,FarsightTechnologies,0,1995-01-01
501,GalileaMultimedia,0,1995-01-01
502,BostonAnimation,0,1995-01-01
503,SurrealSoftware,0,1995-01-01
504,BunkashaPublishing,0,1995-01-01
505,Auran,0,1995-01-01
506,VISEntertainment,0,1995-01-01
507,SCEELondonStudio,0,1995-01-01
508,InfiniteMachine,0,1995-01-01
509,PointofView,0,1995-01-01
510,Koei/Inis,0,1995-01-01
511,ProSim,0,1995-01-01
512,KodiakInteractive,0,1995-01-01
513,TotallyGames,0,1995-01-01
514,OutOfTheParkDevelopments,0,1995-01-01
515,WinkySoft,0,1995-01-01
516,VisualImpact,0,1995-01-01
517,ClapHanz,0,1995-01-01
518,DesertProductions,0,1995-01-01
519,Zoom,0,1995-01-01
520,UbisoftMilan,0,1995-01-01
521,BluePlanetSoftware,0,1995-01-01
522,Innonics,0,1995-01-01
523,CreativeEdgeSoftware,0,1995-01-01
524,EvolutionStudios,0,1995-01-01
525,KCEA,0,1995-01-01
526,Creations,0,1995-01-01
527,Art,0,1995-01-01
528,SIMS,0,1995-01-01
529,GolemLabs,0,1995-01-01
530,Cinemaware,0,1995-01-01
531,WayForward,0,1995-01-01
532,StalkerEntertainment,0,1995-01-01
533,GasPoweredGames,0,1995-01-01
534,iRockInteractive,0,1995-01-01
535,BlackCactus,0,1995-01-01
536,AI,0,1995-01-01
537,ARCEntertainment,0,1995-01-01
538,SoftwareCreations,0,1995-01-01
539,PiranhaGames,0,1995-01-01
540,KamehanStudios,0,1995-01-01
541,LegacyInteractive,0,1995-01-01
542,SportsMogul,0,1995-01-01
543,BethesdaSoftworks,0,1995-01-01
544,PuzzleKings,0,1995-01-01
545,MetroGraphics,0,1995-01-01
546,Amuze,0,1995-01-01
547,ScreamingGames,0,1995-01-01
548,CreatureLabs,0,1995-01-01
549,WebfootTechnologies,0,1995-01-01
550,AtomicPlanetEntertainment,0,1995-01-01
551,Blueshift,0,1995-01-01
552,RockstarNorth,0,1995-01-01
553,Tantalus,0,1995-01-01
554,EALA,0,1995-01-01
555,SCEE,0,1995-01-01
556,NowProduction,0,1995-01-01
557,BitTown,0,1995-01-01
558,SuperEmpire,0,1995-01-01
559,Trecision,0,1995-01-01
560,Slitherine,0,1995-01-01
561,CunningDevelopments,0,1995-01-01
562,4DRulers,0,1995-01-01
563,Simon&Schuster,0,1995-01-01
564,TriumphStudios,0,1995-01-01
565,Saturn+,0,1995-01-01
566,LeapingLizardSoftwareInc.,0,1995-01-01
567,SmartDog,0,1995-01-01
568,PantherGames,0,1995-01-01
569,7Studios,0,1995-01-01
570,SiliconKnights,0,1995-01-01
571,PixelArts,0,1995-01-01
572,DreamCatcherInteractive,0,1995-01-01
573,RoninEntertainment,0,1995-01-01
574,U.S.Army,0,1995-01-01
575,FurySoftware,0,1995-01-01
576,MagentaSoftware,0,1995-01-01
577,SCEStudioCambridge,0,1995-01-01
578,Starbreeze,0,1995-01-01
579,Crave,0,1995-01-01
580,Gilligames,0,1995-01-01
581,Prograph,0,1995-01-01
582,RedLemonStudios,0,1995-01-01
583,HumongousEntertainment,0,1995-01-01
584,KleinComputerEntertainment,0,1995-01-01
585,Wanadoo,0,1995-01-01
586,Pixelogic,0,1995-01-01
587,ComputerArtworks,0,1995-01-01
588,BumbleBeast,0,1995-01-01
589,Haemimont,0,1995-01-01
590,HaemimontGames,0,1995-01-01
591,MonteCristoMultimedia,0,1995-01-01
592,MonteCristo,0,1995-01-01
593,FunaticsDevelopmentGmbH,0,1995-01-01
594,FunaticsSoftware,0,1995-01-01
595,Funatics,0,1995-01-01
596,WideGames,0,1995-01-01
597,Inti,0,1995-01-01
598,Zuxxez,0,1995-01-01
599,VUGames,0,1995-01-01
600,AtariSA,0,1995-01-01
601,IridonInteractiveAB,0,1995-01-01
602,SetaCorporation,0,1995-01-01
603,CurlyMonsters,0,1995-01-01
604,LarianStudiosGames,0,1995-01-01
605,CodeFire,0,1995-01-01
606,MidwayStudios-Austin,0,1995-01-01
607,SuckerPunch,0,1995-01-01
608,PocketStudios,0,1995-01-01
609,ViciousCycle,0,1995-01-01
610,I-Imagine,0,1995-01-01
611,WXP,0,1995-01-01
612,Velez&Dubail,0,1995-01-01
613,PivotalGames,0,1995-01-01
614,EASeattle,0,1995-01-01
615,SCi,0,1995-01-01
616,Prokion,0,1995-01-01
617,YoyoEntertainment,0,1995-01-01
618,PipeworksSoftware,0,1995-01-01
619,Altron,0,1995-01-01
620,HokusPokus,0,1995-01-01
621,Media.Vision,0,1995-01-01
622,Contrail,0,1995-01-01
623,Ancient,0,1995-01-01
624,Similis,0,1995-01-01
625,SouthendInteractive,0,1995-01-01
626,Telenet,0,1995-01-01
627,ToeJam&EarlProductions,0,1995-01-01
628,4XStudios,0,1995-01-01
629,ThirdWire,0,1995-01-01
630,CatDaddyGames,0,1995-01-01
631,KillerGame,0,1995-01-01
632,BigTimeSoftware,0,1995-01-01
633,Taniko,0,1995-01-01
634,Housemarque,0,1995-01-01
635,Hypnotix,0,1995-01-01
636,ProntoGames,0,1995-01-01
637,RadonLabs,0,1995-01-01
638,CheckSixGames,0,1995-01-01
639,InevitableEntertainment,0,1995-01-01
640,Sandlot,0,1995-01-01
641,FreedomLLC,0,1995-01-01
642,Equinoxe,0,1995-01-01
643,Flagship,0,1995-01-01
644,Day1Studios,0,1995-01-01
645,ArkaneStudios,0,1995-01-01
646,TheCodeMonkeys,0,1995-01-01
647,Enterbrain,0,1995-01-01
648,InImages,0,1995-01-01
649,PapayaStudios,0,1995-01-01
650,DigitalReality,0,1995-01-01
651,StealthStudios,0,1995-01-01
652,Helixe,0,1995-01-01
653,ReakktorMedia,0,1995-01-01
654,RetroStudios,0,1995-01-01
655,Dragonstone,0,1995-01-01
656,4HeadStudios,0,1995-01-01
657,DragonstoneSoftware,0,1995-01-01
658,RazorworksStudios,0,1995-01-01
659,BitsStudios,0,1995-01-01
660,ContrabandEntertainment,0,1995-01-01
661,RealismLtd,0,1995-01-01
662,PowerheadGames,0,1995-01-01
663,SandGrainStudios,0,1995-01-01
664,Den-Yu-Sha,0,1995-01-01
665,2By3Games,0,1995-01-01
666,Sting,0,1995-01-01
667,DimpsCorporation,0,1995-01-01
668,MagicRings,0,1995-01-01
669,CaveBarn,0,1995-01-01
670,PantherSoftware,0,1995-01-01
671,Frogwares,0,1995-01-01
672,InfiniteDreams,0,1995-01-01
673,Paragon5,0,1995-01-01
674,UbisoftShanghai,0,1995-01-01
675,TeamSoho,0,1995-01-01
676,SoftEnterprises,0,1995-01-01
677,BladeInteractive,0,1995-01-01
678,CrankyPantsGames,0,1995-01-01
679,LegendEntertainment,0,1995-01-01
680,CyberConnect2,0,1995-01-01
681,EAPacific,0,1995-01-01
682,Irem,0,1995-01-01
683,AcclaimStudiosManchester,0,1995-01-01
684,JustAddMonsters,0,1995-01-01
685,QuicksilverSoftware,0,1995-01-01
686,SilverbackEntertainment,0,1995-01-01
687,MonolithSoft,0,1995-01-01
688,K2LLC,0,1995-01-01
689,Rebelmind,0,1995-01-01
690,StudioGigante,0,1995-01-01
691,Cosmigo,0,1995-01-01
692,GameFreak,0,1995-01-01
693,HandheldGames,0,1995-01-01
694,SunSoft,0,1995-01-01
695,TermiteGames,0,1995-01-01
696,Xpec,0,1995-01-01
697,SunflowersInteractive,0,1995-01-01
698,WolfpackStudios,0,1995-01-01
699,369Interactive,0,1995-01-01
700,Pterodon,0,1995-01-01
701,BabylonSoftware,0,1995-01-01
702,DigitaloStudios,0,1995-01-01
703,PaxSoftonica,0,1995-01-01
704,GenePool,0,1995-01-01
705,FreeformInteractiveLLC,0,1995-01-01
706,LivesayTechnologies,0,1995-01-01
707,MayhemStudios,0,1995-01-01
708,NerveSoftware,0,1995-01-01
709,GamenessArtSoftware,0,1995-01-01
710,CCP,0,1995-01-01
711,FrontierDevelopments,0,1995-01-01
712,BigHugeGames,0,1995-01-01
713,RaylightStudios,0,1995-01-01
714,SaberInteractive,0,1995-01-01
715,MadebyKiddies,0,1995-01-01
716,CaviaInc.,0,1995-01-01
717,MicroCabin,0,1995-01-01
718,Avaria,0,1995-01-01
719,KnutMueller,0,1995-01-01
720,NekoEntertainment,0,1995-01-01
721,TDKMediactive,0,1995-01-01
722,XXVProductions,0,1995-01-01
723,BudCat,0,1995-01-01
724,CreatStudios,0,1995-01-01
725,Beenox,0,1995-01-01
726,Fluent,0,1995-01-01
727,JupiterCorporation,0,1995-01-01
728,TesseractionGames,0,1995-01-01
729,Philoslabs,0,1995-01-01
730,SickPuppies,0,1995-01-01
731,ElixirStudios,0,1995-01-01
732,Shift,0,1995-01-01
733,NipponIchiSoftware,0,1995-01-01
734,PenduloStudios,0,1995-01-01
735,MadCatInteractiveSoftware,0,1995-01-01
736,ToysforBob,0,1995-01-01
737,SquareEnix,0,1995-01-01
738,10tonsEntertainment,0,1995-01-01
739,10tons,0,1995-01-01
740,SupersonicSoftware,0,1995-01-01
741,AsmikAceEntertainment,0,1995-01-01
742,Inc,0,1995-01-01
743,S2Games,0,1995-01-01
744,No info,0,1995-01-01
